KeywordName;NLanguage (0=it-IT, 1=es-PE, 2=en-GB, 3=de-DE);LanguageID;Words;;;;;;;
hope;3;de-DE;;;;;;;;
lima;0;it-IT;lima;;;;;;;
lima;1;es-PE;lima;;;;;;;
lima;2;en-GB;lima;;;;;;;
lima;3;de-DE;lima;;;;;;;
marriage;0;it-IT;matrimonio;sposare;sposarsi;;;;;
marriage;1;es-PE;;;;;;;;
marriage;2;en-GB;marriage;;;;;;;
marriage;3;de-DE;;;;;;;;
mercy;0;it-IT;misericordia;misericordioso;;;;;;
mercy;1;es-PE;misericordia;;;;;;;
mercy;2;en-GB;mercy;;;;;;;
mercy;3;de-DE;;;;;;;;
padrenostro;0;it-IT;padre nostro;;;;;;;
padrenostro;1;es-PE;Padre nuestro;;;;;;;
padrenostro;2;en-GB;Our Father;;;;;;;
padrenostro;3;de-DE;Vater unser;;;;;;;
peace;0;it-IT;pace;;;;;;;
peace;1;es-PE;paz;;;;;;;
peace;2;en-GB;peace;;;;;;;
peace;3;de-DE;;;;;;;;
peru;0;it-IT;peru;perù;;;;;;
peru;1;es-PE;peru;Perú;;;;;;
peru;2;en-GB;peru;;;;;;;
peru;3;de-DE;peru;;;;;;;
problem;0;it-IT;ho un problema;problema;;;;;;
problem;1;es-PE;tengo un problema;problema;;;;;;
problem;2;en-GB;i have a problem;i've got a problem;problem;;;;;
problem;3;de-DE;Ich habe ein problem;ein problem;;;;;;
resurrection;0;it-IT;resurrezione;risorgere;;;;;;
resurrection;1;es-PE;;;;;;;;
resurrection;2;en-GB;resurrection;resurrect;;;;;;
resurrection;3;de-DE;;;;;;;;
sadness;0;it-IT;tristezza;triste;tristissimo;;;;;
sadness;1;es-PE;tristeza;triste;tristísimo;;;;;
sadness;2;en-GB;sadness;sad;;;;;;
sadness;3;de-DE;;;;;;;;
sick;0;it-IT;mi sento male;non mi sento bene;sto un po' male;malattia;non mi sento tanto bene;;;
sick;1;es-PE;estoy enfermo;estoy enferma;me siento mal;un poco mal;no me siento bien;;;
sick;2;en-GB;feeling sick;feeling ill;not feeling well;sickness;i'm sick;;;
sick;3;de-DE;ich fühle mich krank;krank fühlen;;;;;;
sin;0;it-IT;peccato;peccatore;peccatrice;peccatori;peccati;;;
sin;1;es-PE;pecador;pecadores;pecadriz;pecado;pecados;;;
sin;2;en-GB;sin;sinner;sins;sinners;;;;
sin;3;de-DE;;;;;;;;
sons;0;it-IT;figlio;figlia;figli;figlie;;;;
sons;1;es-PE;hijo;hija;hijos;hijas;;;;
sons;2;en-GB;son;daughter;sons;daughters;;;;
sons;3;de-DE;;;;;;;;
suffer;0;it-IT;soffrire;soffro;sofferto;sofferenza;soffrii;soffrendo;;
suffer;1;es-PE;sufrir;sufro;sufierto;sufrimiento;sufrí;sufriendo;;
suffer;2;en-GB;suffer;suffering;suffered;;;;;
suffer;3;de-DE;;;;;;;;
tired;0;it-IT;stanco;stanca;stanchezza;;;;;
tired;1;es-PE;cansado;cansada;;;;;;
tired;2;en-GB;tired;;;;;;;
tired;3;de-DE;;;;;;;;
wish;0;it-IT;desiderio;vorrei tanto;desidero;;;;;
wish;1;es-PE;deseo;quisiera mucho;;;;;;
wish;2;en-GB;i wish;i desire;i really wish;;;;;
wish;3;de-DE;ich wünsche;ich sehne mich;sehnsucht;wunsch;;;;
work;0;it-IT;lavoro;lavorare;;;;;;
work;1;es-PE;trabajo;trabajar;;;;;;
work;2;en-GB;work;job;to work;;;;;
work;3;de-DE;;;;;;;;
worry;0;it-IT;preoccupato;preoccupata;preoccupazione;preoccuparsi;;;;
worry;1;es-PE;preocupado;preocupada;preocupación;;;;;
worry;2;en-GB;worry;worried;worrying;;;;;
worry;3;de-DE;sorgen;;;;;;;
